Unnamed: 0,rank,discipline,yrs.since.phd,yrs.service,sex,salary,salary_in_lakhs
137,AsstProf,A,3,1,Female,72500,0.725
138,Prof,A,35,25,Male,168635,1.68635
139,Prof,A,20,18,Male,136000,1.36
140,Prof,A,16,14,Male,108262,1.08262
141,Prof,A,17,14,Male,105668,1.05668
142,AssocProf,A,10,7,Male,73877,0.73877
143,Prof,A,21,18,Male,152664,1.52664
144,AssocProf,A,14,8,Male,100102,1.00102
145,AssocProf,A,15,10,Male,81500,0.815
146,Prof,A,19,11,Male,106608,1.06608
147,AsstProf,B,3,3,Male,89942,0.89942
148,Prof,B,27,27,Male,112696,1.12696
149,Prof,B,28,28,Male,119015,1.19015
150,AsstProf,B,4,4,Male,92000,0.92
151,Prof,B,27,27,Male,156938,1.56938
152,Prof,B,36,26,Female,144651,1.44651
153,AsstProf,B,4,3,Male,95079,0.95079
154,Prof,B,14,12,Male,128148,1.28148
155,AsstProf,B,4,4,Male,92000,0.92
156,Prof,B,21,9,Male,111168,1.11168
157,AssocProf,B,12,10,Female,103994,1.03994
158,AsstProf,B,4,0,Male,92000,0.92
159,Prof,B,21,21,Male,118971,1.18971
160,AssocProf,B,12,18,Male,113341,1.13341
161,AsstProf,B,1,0,Male,88000,0.88
162,AssocProf,B,6,6,Male,95408,0.95408
163,Prof,B,15,16,Male,137167,1.37167
164,AsstProf,B,2,2,Male,89516,0.89516
165,Prof,B,26,19,Male,176500,1.765
166,AssocProf,B,22,7,Male,98510,0.9851
167,AsstProf,B,3,3,Male,89942,0.89942
168,AsstProf,B,1,0,Male,88795,0.88795
169,Prof,B,21,8,Male,105890,1.0589
170,Prof,B,16,16,Male,167284,1.67284
171,Prof,B,18,19,Male,130664,1.30664
172,AssocProf,B,8,6,Male,101210,1.0121
173,Prof,B,25,18,Male,181257,1.81257
174,AsstProf,B,5,5,Male,91227,0.91227
175,Prof,B,19,19,Male,151575,1.51575
176,Prof,B,37,24,Male,93164,0.93164
177,Prof,B,20,20,Male,134185,1.34185
178,AssocProf,B,17,6,Male,105000,1.05
179,Prof,B,28,25,Male,111751,1.11751
180,AssocProf,B,10,7,Male,95436,0.95436
181,AssocProf,B,13,9,Male,100944,1.00944
182,Prof,B,27,14,Male,147349,1.47349
183,AsstProf,B,3,3,Female,92000,0.92
184,Prof,B,11,11,Male,142467,1.42467
185,Prof,B,18,5,Male,141136,1.41136
186,AssocProf,B,8,8,Male,100000,1
187,Prof,B,26,22,Male,150000,1.5
188,Prof,B,23,23,Male,101000,1.01
189,Prof,B,33,30,Male,134000,1.34
190,AssocProf,B,13,10,Female,103750,1.0375
191,Prof,B,18,10,Male,107500,1.075
192,AssocProf,B,28,28,Male,106300,1.063
193,Prof,B,25,19,Male,153750,1.5375
194,Prof,B,22,9,Male,180000,1.8
195,Prof,B,43,22,Male,133700,1.337
196,Prof,B,19,18,Male,122100,1.221
197,AssocProf,B,19,19,Male,86250,0.8625
198,AssocProf,B,48,53,Male,90000,0.9
199,AssocProf,B,9,7,Male,113600,1.136
200,AsstProf,B,4,4,Male,92700,0.927
201,AsstProf,B,4,4,Male,92000,0.92
202,Prof,B,34,33,Male,189409,1.89409
203,Prof,B,38,22,Male,114500,1.145
204,AsstProf,B,4,4,Male,92700,0.927
205,Prof,B,40,40,Male,119700,1.197
206,Prof,B,28,17,Male,160400,1.604
207,Prof,B,17,17,Male,152500,1.525
208,Prof,B,19,5,Male,165000,1.65
209,Prof,B,21,2,Male,96545,0.96545
210,Prof,B,35,33,Male,162200,1.622
211,Prof,B,18,18,Male,120000,1.2
212,AsstProf,B,7,2,Male,91300,0.913
213,Prof,B,20,20,Male,163200,1.632
214,AsstProf,B,4,3,Male,91000,0.91
215,Prof,B,39,39,Male,111350,1.1135
216,Prof,B,15,7,Male,128400,1.284
217,Prof,B,26,19,Male,126200,1.262
218,AssocProf,B,11,1,Male,118700,1.187
219,Prof,B,16,11,Male,145350,1.4535
220,Prof,B,15,11,Male,146000,1.46
221,AssocProf,B,29,22,Male,105350,1.0535
222,AssocProf,B,14,7,Female,109650,1.0965
223,Prof,B,13,11,Male,119500,1.195
224,Prof,B,21,21,Male,170000,1.7
225,Prof,B,23,10,Male,145200,1.452
226,AssocProf,B,13,6,Male,107150,1.0715
227,Prof,B,34,20,Male,129600,1.296
228,Prof,A,38,35,Male,87800,0.878
229,Prof,A,20,20,Male,122400,1.224
230,AsstProf,A,3,1,Male,63900,0.639
231,AssocProf,A,9,7,Male,70000,0.7
232,Prof,A,16,11,Male,88175,0.88175
233,Prof,A,39,38,Male,133900,1.339
234,Prof,A,29,27,Female,91000,0.91
235,AssocProf,A,26,24,Female,73300,0.733
236,Prof,A,38,19,Male,148750,1.4875
237,Prof,A,36,19,Female,117555,1.17555
238,AsstProf,A,8,3,Male,69700,0.697
239,Prof,A,28,17,Male,81700,0.817
240,Prof,A,25,25,Male,114000,1.14
241,AsstProf,A,7,6,Female,63100,0.631
242,Prof,A,46,40,Male,77202,0.77202
243,Prof,A,19,6,Male,96200,0.962
244,AsstProf,A,5,3,Male,69200,0.692
245,Prof,A,31,30,Male,122875,1.22875
246,Prof,A,38,37,Male,102600,1.026
247,Prof,A,23,23,Male,108200,1.082
248,Prof,A,19,23,Male,84273,0.84273
249,Prof,A,17,11,Female,90450,0.9045
250,Prof,A,30,23,Male,91100,0.911
251,Prof,A,21,18,Male,101100,1.011
252,Prof,A,28,23,Male,128800,1.288
253,Prof,A,29,7,Male,204000,2.04
254,Prof,A,39,39,Male,109000,1.09
255,Prof,A,20,8,Male,102000,1.02
256,Prof,A,31,12,Male,132000,1.32
257,AsstProf,A,4,2,Female,77500,0.775
258,Prof,A,28,7,Female,116450,1.1645
259,AssocProf,A,12,8,Male,83000,0.83
260,Prof,A,22,22,Male,140300,1.403
261,AssocProf,A,30,23,Male,74000,0.74
262,AsstProf,A,9,3,Male,73800,0.738
263,Prof,A,32,30,Male,92550,0.9255
264,AssocProf,A,41,33,Male,88600,0.886
265,Prof,A,45,45,Male,107550,1.0755
266,Prof,A,31,26,Male,121200,1.212
267,Prof,A,31,31,Male,126000,1.26
268,Prof,A,37,35,Male,99000,0.99
269,Prof,A,36,30,Male,134800,1.348
270,Prof,A,43,43,Male,143940,1.4394
271,Prof,A,14,10,Male,104350,1.0435
272,Prof,A,47,44,Male,89650,0.8965
273,Prof,A,13,7,Male,103700,1.037
274,Prof,A,42,40,Male,143250,1.4325
275,Prof,A,42,18,Male,194800,1.948
276,AsstProf,A,4,1,Male,73000,0.73
277,AsstProf,A,8,4,Male,74000,0.74
278,AsstProf,A,8,3,Female,78500,0.785
279,Prof,A,12,6,Male,93000,0.93
280,Prof,A,52,48,Male,107200,1.072
281,Prof,A,31,27,Male,163200,1.632
282,Prof,A,24,18,Male,107100,1.071
283,Prof,A,46,46,Male,100600,1.006
284,Prof,A,39,38,Male,136500,1.365
285,Prof,A,37,27,Male,103600,1.036
286,Prof,A,51,51,Male,57800,0.578
287,Prof,A,45,43,Male,155865,1.55865
288,AssocProf,A,8,6,Male,88650,0.8865
289,AssocProf,A,49,49,Male,81800,0.818
290,Prof,A,28,27,Male,115800,1.158
291,AsstProf,A,2,0,Male,85000,0.85
292,Prof,A,29,27,Male,150500,1.505
293,AsstProf,A,8,5,Male,74000,0.74
294,Prof,A,33,7,Male,174500,1.745
295,Prof,A,32,28,Male,168500,1.685
296,Prof,A,39,9,Male,183800,1.838
297,AssocProf,A,11,1,Male,104800,1.048
298,Prof,A,19,7,Male,107300,1.073
299,Prof,A,40,36,Male,97150,0.9715
300,Prof,A,18,18,Male,126300,1.263
301,Prof,A,17,11,Male,148800,1.488
302,Prof,A,49,43,Male,72300,0.723
303,AssocProf,A,45,39,Male,70700,0.707
304,Prof,A,39,36,Male,88600,0.886
305,Prof,A,27,16,Male,127100,1.271
306,Prof,A,28,13,Male,170500,1.705
307,Prof,A,14,4,Male,105260,1.0526
308,Prof,A,46,44,Male,144050,1.4405
309,Prof,A,33,31,Male,111350,1.1135
310,AsstProf,A,7,4,Male,74500,0.745
311,Prof,A,31,28,Male,122500,1.225
312,AsstProf,A,5,0,Male,74000,0.74
313,Prof,A,22,15,Male,166800,1.668
314,Prof,A,20,7,Male,92050,0.9205
315,Prof,A,14,9,Male,108100,1.081
316,Prof,A,29,19,Male,94350,0.9435
317,Prof,A,35,35,Male,100351,1.00351
318,Prof,A,22,6,Male,146800,1.468
319,AsstProf,B,6,3,Male,84716,0.84716
320,AssocProf,B,12,9,Female,71065,0.71065
321,Prof,B,46,45,Male,67559,0.67559
322,Prof,B,16,16,Male,134550,1.3455
323,Prof,B,16,15,Male,135027,1.35027
324,Prof,B,24,23,Male,104428,1.04428
325,AssocProf,B,9,9,Male,95642,0.95642
326,AssocProf,B,13,11,Male,126431,1.26431
327,Prof,B,24,15,Female,161101,1.61101
328,Prof,B,30,31,Male,162221,1.62221
329,AsstProf,B,8,4,Male,84500,0.845
330,Prof,B,23,15,Male,124714,1.24714
331,Prof,B,37,37,Male,151650,1.5165
332,AssocProf,B,10,10,Male,99247,0.99247
333,Prof,B,23,23,Male,134778,1.34778
334,Prof,B,49,60,Male,192253,1.92253
335,Prof,B,20,9,Male,116518,1.16518
336,Prof,B,18,10,Female,105450,1.0545
337,Prof,B,33,19,Male,145098,1.45098
338,AssocProf,B,19,6,Female,104542,1.04542
339,Prof,B,36,38,Male,151445,1.51445
340,Prof,B,35,23,Male,98053,0.98053
341,Prof,B,13,12,Male,145000,1.45
342,Prof,B,32,25,Male,128464,1.28464
343,Prof,B,37,15,Male,137317,1.37317
344,Prof,B,13,11,Male,106231,1.06231
345,Prof,B,17,17,Female,124312,1.24312
346,Prof,B,38,38,Male,114596,1.14596
347,Prof,B,31,31,Male,162150,1.6215
348,Prof,B,32,35,Male,150376,1.50376
349,Prof,B,15,10,Male,107986,1.07986
350,Prof,B,41,27,Male,142023,1.42023
351,Prof,B,39,33,Male,128250,1.2825
352,AsstProf,B,4,3,Male,80139,0.80139
353,Prof,B,27,28,Male,144309,1.44309
354,Prof,B,56,49,Male,186960,1.8696
355,Prof,B,38,38,Male,93519,0.93519
356,Prof,B,26,27,Male,142500,1.425
357,Prof,B,22,20,Male,138000,1.38
358,AsstProf,B,8,1,Male,83600,0.836
359,Prof,B,25,21,Male,145028,1.45028
360,Prof,A,49,40,Male,88709,0.88709
361,Prof,A,39,35,Male,107309,1.07309
362,Prof,A,28,14,Female,109954,1.09954
363,AsstProf,A,11,4,Male,78785,0.78785
364,Prof,A,14,11,Male,121946,1.21946
365,Prof,A,23,15,Female,109646,1.09646
366,Prof,A,30,30,Male,138771,1.38771
367,AssocProf,A,20,17,Male,81285,0.81285
368,Prof,A,43,43,Male,205500,2.055
369,Prof,A,43,40,Male,101036,1.01036
370,Prof,A,15,10,Male,115435,1.15435
371,AssocProf,A,10,1,Male,108413,1.08413
372,Prof,A,35,30,Male,131950,1.3195
373,Prof,A,33,31,Male,134690,1.3469
374,AssocProf,A,13,8,Male,78182,0.78182
375,Prof,A,23,20,Male,110515,1.10515
376,Prof,A,12,7,Male,109707,1.09707
377,Prof,A,30,26,Male,136660,1.3666
378,Prof,A,27,19,Male,103275,1.03275
379,Prof,A,28,26,Male,103649,1.03649
380,AsstProf,A,4,1,Male,74856,0.74856
381,AsstProf,A,6,3,Male,77081,0.77081
382,Prof,A,38,38,Male,150680,1.5068
383,AssocProf,A,11,8,Male,104121,1.04121
384,AsstProf,A,8,3,Male,75996,0.75996
385,Prof,A,27,23,Male,172505,1.72505
386,AssocProf,A,8,5,Male,86895,0.86895
387,Prof,A,44,44,Male,105000,1.05
388,Prof,A,27,21,Male,125192,1.25192
389,Prof,A,15,9,Male,114330,1.1433
390,Prof,A,29,27,Male,139219,1.39219
391,Prof,A,29,15,Male,109305,1.09305
392,Prof,A,38,36,Male,119450,1.1945
393,Prof,A,33,18,Male,186023,1.86023
394,Prof,A,40,19,Male,166605,1.66605
395,Prof,A,30,19,Male,151292,1.51292
396,Prof,A,33,30,Male,103106,1.03106
397,Prof,A,31,19,Male,150564,1.50564
398,Prof,A,42,25,Male,101738,1.01738
399,Prof,A,25,15,Male,95329,0.95329
400,AsstProf,A,8,4,Male,81035,0.81035
,AsstProf,A,,5,Female,85000,0.85
