ISO3 code,Economy,Indicator code,Indicator name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AFG,Afghanistan,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4195,2.6395,-0.941,3.3194,-0.0357,-1.2501,-1.9409,-1.1635,-1.3778,0.0187,-0.0059,-0.3998,0.685,2.5692,1.9665,-4.1196,-6.7922,1.9284,-3.8246,-0.9693,-3.3327,-4.9123,0.9463,1.4905,-1.8486,-6.885,-1.773,0.5721,-4.1046,0.051,-0.4456,1.0409,-0.1084,-2.84,,
AFG,Afghanistan,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0868,19.4092,19.4748,19.0218,19.2668,19.0461,19.402,20.3443,18.8025,18.6817,20.2241,19.3838,19.1539,20.0084,19.1857,20.4015,19.8274,19.2445,20.5671,19.1856,19.8595,19.6381,20.1393,20.2692,19.5045,19.1118,19.7185,19.1496,20.4952,19.5567,19.3058,19.5808,18.8149,19.0027,,
AGO,Angola,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9962,70.4316,69.8016,73.1187,74.5668,73.7833,74.4875,71.1318,69.9518,75.9481,72.4501,72.7437,76.0518,74.6579,74.6072,78.1754,72.7084,76.0011,74.4094,74.9826,77.6523,75.7611,75.972,77.1904,74.4655,73.667,73.4058,71.7127,79.9078,73.739,75.6529,75.6918,77.0102,78.1769,,
AGO,Angola,EG.ELC.ACCS.ZS,Access to electricity (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4904,48.5856,49.1683,49.7781,49.6031,51.3379,50.6948,51.1399,51.3323,51.9908,51.4469,50.5146,52.1218,51.531,51.8791,53.0211,53.7927,53.0691,53.5491,54.9138,53.9946,56.1334,54.7544,53.1434,55.4047,55.357,56.3338,56.0906,55.6913,55.0726,56.1348,55.8716,56.3376,57.5229,,
AGO,Angola,CC.EST,Control of Corruption: Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3905,-1.5435,-1.7344,-1.5375,-1.4473,-1.664,-1.607,-1.5891,-1.6851,-1.5131,-1.6054,-1.5405,-1.6974,-1.6434,-1.5042,-1.6356,-1.3836,-1.6388,-1.5639,-1.479,-1.7611,-1.8022,-1.774,-1.4394,-1.6571,-1.2839,-1.6586,-1.5687,-1.4058,-1.3501,-1.3435,-1.4459,-1.468,-1.5198,,
AGO,Angola,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7569,19.6826,19.2021,20.3443,20.0141,19.5095,21.154,21.4623,20.082,22.0857,18.0768,19.4189,18.5541,16.7496,19.3454,19.2068,21.5796,20.1756,17.6131,21.8505,20.8209,19.7825,18.4897,17.3102,18.1111,20.2225,21.3363,20.7442,17.6161,16.59,18.4007,15.4567,18.5141,17.728,,
AGO,Angola,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.296,-3.1177,2.1531,-0.4627,-2.0557,-6.3116,0.8003,5.2997,5.0222,-0.2737,-0.6364,2.041,-1.6269,1.6236,2.7843,3.9364,0.6187,0.3599,-1.3259,-1.1981,0.3029,1.7875,3.1531,-1.1389,4.6008,0.1913,0.8157,-0.9989,-5.1915,3.0792,2.7112,0.1658,1.0366,2.1589,,
AGO,Angola,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1396,11.6563,12.318,11.2937,12.0676,11.2426,12.1541,11.903,11.1133,12.5032,11.5536,11.5157,12.0211,12.4952,11.4129,11.9517,12.1353,12.2674,12.0091,11.7373,11.5071,11.9639,11.3848,10.4602,12.1391,12.3728,10.7394,11.416,12.2304,12.9496,11.9313,11.5569,11.8294,12.6083,,
ALB,Albania,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2637,38.1072,38.8901,38.0989,40.4009,43.555,41.1018,40.1009,40.172,37.7792,42.8218,41.0499,40.9946,47.8918,42.2531,40.302,41.1029,44.4025,42.4821,39.529,44.3941,41.3693,46.6022,45.1657,42.261,45.8676,43.5913,45.3111,44.7251,42.2129,42.7685,46.2655,43.6861,43.6983,,
ALB,Albania,EG.ELC.ACCS.ZS,Access to electricity (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1658,54.5188,56.0799,53.8259,54.9493,56.3097,55.3662,56.0418,55.08,56.5225,56.2802,57.4685,57.8798,59.2515,57.8936,57.9405,58.0854,57.8974,58.7007,58.4436,59.0647,60.234,58.6247,60.5918,60.9836,60.0854,58.7324,60.1936,61.9675,61.1616,60.6305,61.2761,62.6024,62.6173,,
ALB,Albania,CC.EST,Control of Corruption: Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5306,0.5152,0.5123,0.4486,0.7531,0.5206,0.7053,0.7418,0.6791,0.5075,0.6077,0.5564,0.4508,0.5982,0.4178,0.7018,0.5035,0.5834,0.5933,0.5282,0.6297,0.5023,0.6638,0.3977,0.5744,0.7919,0.4392,0.4779,0.6209,0.5808,0.6013,0.618,0.6354,0.6924,,
ALB,Albania,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4717,16.4151,17.7058,19.4668,16.338,14.9952,18.0376,16.1164,12.958,17.4081,15.254,15.8412,16.3949,16.1027,16.8012,15.0037,16.3466,15.1077,16.5252,16.26,13.8538,16.806,14.293,16.2291,15.4879,17.6143,14.4418,14.173,14.5878,14.0822,15.6569,11.9525,12.7165,12.6153,,
ALB,Albania,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1904,5.0912,0.5535,0.3926,0.9898,3.7193,-1.5037,1.4106,3.2526,2.0674,1.2886,3.3173,-5.9434,2.5093,-0.8205,-3.7619,2.0927,4.2488,0.471,3.1968,4.8453,4.1019,4.9146,2.67,1.0032,-3.1903,0.1995,-1.2935,6.242,0.3749,1.1227,2.1934,0.9237,5.0523,,
ALB,Albania,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9168,9.3255,8.8569,8.5681,8.9223,9.2096,9.0135,8.8819,8.525,9.1866,8.4758,9.6082,9.2694,8.4994,9.0735,8.8521,9.3877,9.8984,8.2906,9.2857,9.1481,9.5638,9.3347,8.8522,9.0686,8.8301,9.7662,9.2388,10.1787,9.1978,8.8739,8.4713,8.3266,8.4361,,
AND,Andorra,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0199,42.653,38.6232,43.7257,41.1195,42.5292,45.61,44.3293,42.1485,41.0532,38.682,41.6973,42.8633,41.4612,43.3231,43.8893,43.4359,42.7356,44.5229,45.2195,42.3048,47.4575,44.5884,44.9733,46.502,45.702,47.2919,46.1098,44.4607,46.5586,43.6981,46.3527,46.2191,46.0194,,
AND,Andorra,EG.ELC.ACCS.ZS,Access to electricity (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9336,84.781,86.0975,86.8607,87.1643,86.4643,88.549,87.0935,88.812,88.6282,88.0195,90.2067,88.0815,90.0218,90.3369,89.2499,91.1504,90.0864,90.7674,90.9947,90.929,91.9351,92.1712,90.3876,93.0799,90.9564,93.3625,93.6878,92.1637,92.9578,92.6519,93.6145,93.79,94.9102,,
AND,Andorra,CC.EST,Control of Corruption: Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3444,-1.3341,-1.5691,-1.5267,-1.7036,-1.5983,-1.3858,-1.3078,-1.6498,-1.5727,-1.5048,-1.468,-1.5988,-1.4507,-1.5585,-1.5034,-1.4361,-1.5009,-1.554,-1.5148,-1.5122,-1.546,-1.5327,-1.3098,-1.4343,-1.5371,-1.418,-1.5417,-1.3609,-1.4573,-1.5145,-1.4479,-1.6901,-1.6368,,
AND,Andorra,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.919,48.8443,51.1487,51.8169,49.347,49.0612,45.5283,47.3359,46.8883,47.0587,47.6577,47.1218,44.781,48.7918,45.9808,47.8688,50.5411,45.9709,43.4745,46.7609,48.7614,49.9674,45.1056,47.615,46.092,46.551,50.5964,44.2955,46.8505,47.0915,47.9386,46.3769,46.612,45.4825,,
AND,Andorra,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8387,1.3079,3.7198,1.2418,3.1086,2.0927,4.981,2.0374,-2.2667,5.3207,-0.0985,0.5314,0.6767,5.602,-3.1733,10.0102,4.806,2.724,2.0286,2.8798,3.4687,3.7789,3.5549,2.3898,1.6725,1.7877,1.6786,5.0003,3.6498,-5.1851,3.8056,2.6527,2.1191,1.1946,,
AND,Andorra,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3517,4.2634,3.4032,3.9932,3.3038,3.0998,3.4763,4.2209,4.2662,4.0462,4.1522,4.0477,3.4689,4.0056,4.1899,4.1668,4.3841,4.1438,3.9654,4.3247,3.7764,3.3487,3.7081,3.4172,3.4521,3.7174,3.3934,3.6357,2.8428,3.8963,3.7903,3.3811,4.1193,4.2584,,
ARE,United Arab Emirates,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3885,52.2281,52.3653,52.1738,55.8625,53.9659,53.9746,50.6459,56.0744,52.4751,55.2235,55.8083,58.1249,52.9359,49.6646,56.2213,59.6046,58.6315,56.7229,55.4703,58.2178,54.8065,57.8563,58.0645,59.324,62.8729,58.2884,56.6357,57.7524,54.4154,56.7142,57.435,57.3554,58.8583,,
ARE,United Arab Emirates,EG.ELC.ACCS.ZS,Access to electricity (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4261,47.2309,46.5842,46.8266,46.8218,47.4582,48.2441,47.1404,47.5576,48.0911,47.5074,48.1787,48.7031,50.0336,49.7941,49.9889,50.7648,50.2242,50.8964,50.7515,51.2964,50.8679,49.633,51.7266,53.2223,53.075,53.3564,53.823,53.155,53.4919,53.0899,53.5812,54.5767,55.2972,,
ARE,United Arab Emirates,CC.EST,Control of Corruption: Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1915,-2.2288,-2.1747,-2.1026,-2.348,-2.4503,-2.2408,-2.3212,-2.2357,-2.1925,-2.2291,-2.0004,-2.1355,-2.1387,-2.1001,-2.3114,-2.05,-2.1838,-2.0943,-2.3034,-2.3612,-2.0766,-2.1296,-2.283,-2.2791,-2.0397,-2.3175,-1.9776,-2.2828,-2.0981,-2.2142,-2.1024,-2.24,-2.1943,,
ARE,United Arab Emirates,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.7166,84.072,86.6065,84.6455,84.9924,83.7637,81.3318,84.8087,88.6342,86.1122,84.8264,84.3809,84.729,85.4359,82.7641,86.1268,85.4483,85.3725,84.873,84.1647,85.0646,84.863,83.3642,82.9549,83.8881,85.9788,81.7166,81.294,83.6624,83.4116,83.5153,83.5412,82.7605,85.2501,,
ARE,United Arab Emirates,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1569,1.7741,3.5872,-0.2626,3.4057,7.999,3.8976,4.4221,0.6949,2.3044,2.9074,3.0511,7.0495,5.2396,1.0667,4.4616,5.0909,6.6957,7.7967,1.3076,1.8182,0.7014,3.2603,5.0112,6.3137,3.6555,3.0457,4.2247,1.7575,9.0692,-0.1738,4.3072,8.9044,3.8623,,
ARE,United Arab Emirates,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6477,16.564,16.6526,17.4292,15.6368,17.5095,16.0308,16.6094,16.5281,17.037,15.9437,16.9738,17.7549,16.0612,16.8376,16.4118,16.9557,16.7523,16.422,16.9867,17.6449,16.6473,17.1026,16.0961,16.2645,16.979,17.4848,16.9206,16.5862,16.7424,16.1176,17.045,17.1839,16.5167,,
ARG,Argentina,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.429,30.0509,28.7957,29.6868,34.1685,29.6251,29.5524,29.124,32.0575,30.3567,29.5704,33.6617,34.0083,30.1183,27.736,33.6341,30.3998,33.5004,28.1289,34.0043,29.9468,33.9806,32.6976,30.9112,32.155,34.4917,33.4809,34.5879,37.522,30.5906,37.1035,34.2278,32.3715,31.6585,,
ARG,Argentina,EG.ELC.ACCS.ZS,Access to electricity (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1974,42.336,41.7466,43.3076,41.1877,42.589,41.8468,43.3896,44.0582,43.2621,41.7653,44.2578,44.6981,44.9221,45.8373,44.2418,45.8929,46.5527,44.4258,46.3544,45.9453,46.5335,47.1268,46.7089,46.8081,47.626,46.9789,47.23,48.8922,47.6797,49.3817,49.4688,47.968,49.0566,,
ARG,Argentina,CC.EST,Control of Corruption: Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0645,0.8034,0.8654,0.9766,1.0152,0.891,0.8495,1.0918,1.1298,1.0386,0.9314,0.8242,0.8215,0.9839,0.9714,1.0894,0.9992,0.7408,1.0474,0.8014,0.8751,0.9512,1.1606,1.2944,0.994,0.8992,0.9853,1.0277,0.8827,1.1366,0.9488,0.9809,1.0011,0.9718,,
ARG,Argentina,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6714,41.4071,41.4155,40.5227,42.7522,43.1814,42.6196,44.3647,41.7646,42.6961,39.9754,40.9523,42.4963,42.6466,40.852,41.1056,38.8562,40.5174,42.3085,41.7558,41.564,40.8076,40.6636,39.5825,41.5412,41.0444,41.071,39.4639,36.9429,41.7387,39.2947,38.6388,40.8932,39.1849,,
ARG,Argentina,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.699,1.5917,1.7581,-3.3657,3.079,0.7023,-0.874,0.4076,-4.3914,1.0708,-2.5243,-3.3325,-3.7567,2.8309,-1.524,3.8835,-1.2903,-4.2192,-2.7421,3.1387,-0.3406,-1.3215,0.4492,1.3036,2.8427,3.6704,-0.8502,-3.2659,-0.9845,0.6999,-2.3602,-2.3437,0.9086,-0.0725,,
ARG,Argentina,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4344,11.0388,11.3028,10.9559,11.8631,11.9356,10.4949,10.9533,10.6697,11.093,11.3763,10.6932,10.9571,10.916,11.5216,11.4527,11.0571,11.5064,11.1447,11.2822,12.2547,12.0882,10.7682,11.8329,11.8237,10.8439,11.8274,12.187,10.8567,10.9593,11.9268,11.5538,11.6937,11.5883,,
ARM,Armenia,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5325,5.2481,10.1457,10.5403,7.8923,8.4141,5.5889,9.8296,10.0952,8.9767,11.4998,8.7329,10.6803,7.6618,9.804,9.6524,10.6017,9.562,10.1881,12.2532,9.8776,7.6879,14.5502,13.964,8.7666,12.8805,10.6451,12.3281,12.5395,11.6323,10.6836,11.02,10.7187,11.0374,,
ARM,Armenia,EG.ELC.ACCS.ZS,Access to electricity (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0521,93.7832,95.1515,96.0456,94.6418,95.5473,96.0056,96.2334,96.1666,96.95,96.9916,95.8657,97.8012,98.0657,96.9952,97.8862,98.6525,98.1884,99.4642,100.0,98.477,98.251,99.8489,100.0,99.9211,100.0,99.5349,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
ARM,Armenia,CC.EST,Control of Corruption: Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2526,-1.2115,-1.2031,-1.4365,-1.2078,-1.2889,-1.2653,-1.0329,-1.3569,-1.1085,-1.2396,-1.2397,-1.1113,-1.1653,-1.1376,-1.0899,-1.2459,-1.2796,-1.3363,-1.3051,-0.8522,-1.0567,-1.3682,-1.3648,-1.1483,-1.1404,-1.1402,-1.2367,-1.2212,-1.1668,-1.1958,-1.4724,-1.2337,-1.3083,,
ARM,Armenia,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5772,65.7123,61.7056,60.6041,62.3771,61.6384,61.4645,61.6647,63.7592,58.8981,61.2248,59.0448,61.1877,58.8964,59.5683,59.6718,61.4981,61.3321,58.0058,59.8768,58.65,57.7466,59.2289,59.0117,63.0345,59.9638,57.168,58.3072,60.6065,62.1271,56.5354,56.0145,61.5608,59.2588,,
ARM,Armenia,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.268,2.2393,-5.6867,0.9111,1.7223,3.2134,-1.632,1.1169,-1.4109,1.5412,-1.3357,-0.1176,-1.5868,2.5305,3.0488,0.3161,0.9983,-2.7188,0.1535,0.7772,7.4547,-1.8772,4.5631,3.3948,1.6043,5.2993,1.833,1.8756,0.7699,3.9616,3.6439,-0.6615,-2.3954,0.3952,,
ARM,Armenia,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4411,11.8094,12.4599,11.6125,11.8197,11.8702,12.2654,10.7177,11.5378,11.9468,12.4412,11.5952,10.9029,12.151,11.5235,11.2463,11.529,11.7489,11.5388,10.7384,12.2897,12.4786,12.1669,11.2723,11.7404,11.8379,12.1406,12.1753,11.4741,11.8822,12.0698,12.5691,12.1934,12.2357,,
ASM,American Samoa,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9045,51.7077,49.8563,47.4646,52.1436,50.8826,48.7507,48.8278,50.53,51.0132,50.6314,51.0094,53.9367,52.8299,51.2181,52.8694,49.0718,52.0827,55.0554,51.1507,50.0416,50.5826,49.8576,50.6173,51.5958,49.6757,52.6681,54.5914,51.1213,56.1254,54.2584,55.448,52.2212,55.3959,,
ASM,American Samoa,EG.ELC.ACCS.ZS,Access to electricity (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.142,47.9777,47.653,48.2081,47.0751,47.5495,48.9933,48.0069,49.3861,48.1718,50.1941,48.7795,50.4574,50.766,49.9581,51.2312,51.2239,50.8345,50.7087,50.1954,52.2953,51.0137,52.5918,52.5548,53.5589,53.0239,53.252,54.351,54.2836,54.5185,54.891,53.5371,55.621,55.7555,,
ASM,American Samoa,CC.EST,Control of Corruption: Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2259,2.3186,2.3432,2.3318,2.388,2.5,2.4777,2.1905,2.4226,2.5,2.3943,2.4788,2.5,2.4708,2.3778,2.4733,2.3653,2.3508,2.3058,2.5,2.2497,2.5,2.4079,2.18,2.392,2.0959,2.423,2.4542,2.2768,2.3627,2.5,2.2872,2.2209,2.5,,
ASM,American Samoa,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8302,70.8118,72.2435,72.6585,69.4526,69.7583,72.2526,72.8538,71.0906,68.8466,73.0669,69.2098,69.4236,70.3598,72.0975,70.9673,70.2286,70.2212,69.5116,70.2035,65.4919,68.7614,69.4883,67.3198,69.5458,68.5796,71.4395,71.0858,67.9476,68.34,68.3754,67.7288,68.6188,67.1089,,
ASM,American Samoa,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9012,5.2845,5.3016,1.717,5.9661,2.1488,4.3607,5.7786,3.6437,4.8646,2.4367,3.2366,3.2131,1.8613,3.2858,-0.1438,2.4999,3.0156,3.0873,3.124,3.5733,4.9263,5.914,2.1033,0.7197,1.1226,2.5097,2.8479,1.8028,0.4875,2.5874,4.1813,5.2153,2.3342,,
ASM,American Samoa,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0056,17.7487,18.1963,17.7879,18.4986,17.3191,18.0323,18.3626,18.304,19.5586,18.387,17.71,18.1643,17.3239,18.1718,17.7955,18.6698,17.9373,18.1537,17.8943,19.0815,18.0514,19.1283,18.6191,18.4531,18.3964,18.409,17.2482,18.0726,18.6346,18.1876,17.5095,18.1859,19.0641,,
ATG,Antigua and Barbuda,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3258,52.858,55.0349,52.549,50.0243,51.7331,56.8578,53.334,53.5452,53.5823,58.1403,57.7339,59.0696,54.4639,55.5232,52.0487,58.1859,53.0464,55.9655,53.4874,54.6543,54.3075,54.9162,55.2038,55.3355,58.2487,54.5223,57.3231,59.4679,56.1556,55.8962,57.0209,59.9914,58.1702,,
